fileName,wordCount,ttr
29.txt,888,0.4166666666666667
15.txt,1686,0.3831553973902728
114.txt,1146,0.38394415357766143
100.txt,1689,0.3339253996447602
128.txt,973,0.4892086330935252
129.txt,1788,0.3092841163310962
101.txt,837,0.5149342891278376
115.txt,1693,0.3419964559952747
14.txt,950,0.5410526315789473
28.txt,1079,0.48378127896200185
16.txt,1463,0.41421736158578265
103.txt,1309,0.6501145912910619
117.txt,902,0.3835920177383592
116.txt,1335,0.43595505617977526
102.txt,724,0.5966850828729282
17.txt,1576,0.4035532994923858
13.txt,1256,0.446656050955414
106.txt,242,0.5909090909090909
112.txt,1352,0.42011834319526625
113.txt,1096,0.5091240875912408
107.txt,1162,0.44664371772805506
12.txt,692,0.48121387283236994
10.txt,821,0.440925700365408
38.txt,942,0.5414012738853503
139.txt,1575,0.30984126984126986
111.txt,829,0.5548854041013269
105.txt,1276,0.4090909090909091
104.txt,985,0.46598984771573604
110.txt,964,0.5601659751037344
138.txt,1384,0.43352601156069365
39.txt,1552,0.3550257731958763
11.txt,1179,0.5004240882103478
76.txt,1091,0.4665444546287809
62.txt,1307,0.3794950267788829
89.txt,1070,0.42710280373831777
88.txt,696,0.5632183908045977
63.txt,1478,0.4330175913396482
77.txt,268,0.6082089552238806
49.txt,958,0.5375782881002088
61.txt,782,0.5447570332480819
75.txt,990,0.43636363636363634
148.txt,236,0.5932203389830508
149.txt,608,0.524671052631579
74.txt,1105,0.5357466063348416
60.txt,688,0.5
48.txt,1069,0.45182413470533206
64.txt,759,0.5823451910408433
70.txt,874,0.425629290617849
58.txt,465,0.513978494623656
59.txt,998,0.4218436873747495
71.txt,702,0.5854700854700855
65.txt,1045,0.3866028708133971
73.txt,1147,0.4280732345248474
67.txt,839,0.5232419547079857
9.txt,921,0.38870792616720956
98.txt,1556,0.3708226221079691
99.txt,1353,0.47745750184774577
8.txt,603,0.5970149253731343
66.txt,748,0.4679144385026738
72.txt,779,0.4711168164313222
57.txt,1083,0.43213296398891965
5.txt,927,0.447680690399137
43.txt,640,0.565625
142.txt,808,0.5346534653465347
94.txt,643,0.5458786936236392
80.txt,1420,0.40774647887323945
81.txt,1319,0.4632297194844579
95.txt,1396,0.3681948424068768
143.txt,753,0.4820717131474104
42.txt,1307,0.495026778882938
56.txt,938,0.4605543710021322
4.txt,852,0.47417840375586856
68.txt,1085,0.4497695852534562
40.txt,865,0.48786127167630056
6.txt,1024,0.40625
54.txt,981,0.46075433231396534
141.txt,616,0.6103896103896104
83.txt,433,0.4942263279445728
97.txt,826,0.4854721549636804
96.txt,1632,0.3946078431372549
82.txt,911,0.5587266739846323
140.txt,876,0.5125570776255708
7.txt,911,0.5268935236004391
55.txt,1826,0.42113910186199344
41.txt,704,0.4914772727272727
69.txt,686,0.5029154518950437
45.txt,961,0.3413111342351717
51.txt,796,0.5213567839195979
3.txt,1171,0.4210076857386849
79.txt,1351,0.3760177646188009
86.txt,839,0.5065554231227652
92.txt,745,0.538255033557047
144.txt,892,0.515695067264574
150.txt,542,0.6107011070110702
145.txt,2142,0.36321195144724555
93.txt,1047,0.49379178605539636
87.txt,1120,0.4276785714285714
78.txt,891,0.4601571268237935
50.txt,794,0.6209068010075567
2.txt,568,0.6003521126760564
44.txt,1372,0.3892128279883382
52.txt,1111,0.42934293429342935
46.txt,1353,0.49076127124907615
91.txt,1259,0.4011119936457506
85.txt,1399,0.3795568263045032
147.txt,566,0.5600706713780919
146.txt,604,0.5993377483443708
84.txt,663,0.5641025641025641
90.txt,912,0.38596491228070173
47.txt,649,0.5423728813559322
1.txt,1050,0.43523809523809526
53.txt,824,0.5
34.txt,829,0.36670687575392036
20.txt,300,0.46
135.txt,1453,0.3571920165175499
121.txt,1775,0.3233802816901408
109.txt,1208,0.4908940397350993
108.txt,1460,0.4212328767123288
120.txt,717,0.5634588563458857
134.txt,815,0.47484662576687114
21.txt,702,0.45726495726495725
35.txt,1801,0.410882842865075
23.txt,1038,0.35934489402697495
37.txt,628,0.5923566878980892
122.txt,1211,0.4624277456647399
136.txt,684,0.5497076023391813
137.txt,1256,0.41878980891719747
123.txt,748,0.5187165775401069
36.txt,1548,0.39664082687338503
22.txt,834,0.5467625899280576
26.txt,2747,0.30396796505278484
32.txt,1104,0.43931159420289856
127.txt,950,0.41368421052631577
133.txt,629,0.5214626391096979
132.txt,1123,0.4666073018699911
126.txt,1161,0.5193798449612403
33.txt,888,0.4988738738738739
27.txt,840,0.4523809523809524
31.txt,1284,0.4338006230529595
25.txt,1126,0.5168738898756661
19.txt,722,0.5470914127423823
118.txt,926,0.5129589632829373
130.txt,720,0.48333333333333334
124.txt,1286,0.37091757387247276
125.txt,825,0.5345454545454545
131.txt,921,0.252985884907709
119.txt,1378,0.35776487663280115
18.txt,962,0.369022869022869
24.txt,1308,0.40978593272171254
30.txt,797,0.5257214554579673
